iter	Passed	Remaining
281	16599	395447
282	16651	395231
283	16701	394966
284	16752	394701
285	16802	394447
286	16855	394261
287	16921	394356
288	16974	394181
289	17027	393985
290	17079	393775
291	17133	393593
292	17183	393341
293	17234	393106
294	17292	393027
295	17344	392835
296	17397	392635
297	17450	392464
298	17504	392295
299	17555	392076
300	17608	391896
301	17659	391669
302	17710	391445
303	17760	391188
304	17810	390950
305	17863	390777
306	17915	390580
307	17965	390339
308	18017	390141
309	18068	389922
310	18130	389952
311	18181	389734
312	18232	389522
313	18285	389353
314	18337	389162
315	18389	388968
316	18440	388759
317	18496	388648
318	18546	388432
319	18596	388207
320	18647	387998
321	18698	387795
322	18757	387755
323	18808	387544
324	18861	387391
325	18931	387566
326	19003	387803
327	19059	387702
328	19110	387489
329	19160	387269
330	19212	387094
331	19279	387219
332	19333	387076
333	19384	386871
334	19434	386666
335	19486	386488
336	19538	386306
337	19590	386139
338	19642	385950
339	19693	385763
340	19743	385544
341	19791	385302
342	19842	385113
343	19892	384888
344	19942	384688
345	19994	384519
346	20045	384328
347	20095	384120
348	20146	383932
349	20195	383716
350	20244	383499
351	20295	383314
352	20345	383099
353	20396	382926
354	20446	382727
355	20496	382526
356	20546	382334
357	20597	382137
358	20647	381952
359	20737	382498
360	20787	382287
361	20836	382087
362	20889	381943
363	20942	381796
364	20994	381635
365	21045	381472
366	21096	381291
367	21145	381075
368	21195	380885
369	21244	380682
370	21293	380474
371	21344	380298
372	21395	380126
373	21445	379932
374	21494	379744
375	21545	379564
376	21596	379395
377	21647	379226
378	21696	379025
379	21745	378831
380	21793	378619
381	21844	378449
382	21895	378283
383	21943	378076
384	21992	377879
385	22041	377671
386	22092	377518
387	22142	377342
388	22192	377161
389	22242	376985
390	22292	376814
391	22341	376621
392	22392	376455
393	22442	376279
394	22531	376758
395	22581	376592
396	22633	376452
397	22684	376295
398	22736	376143
